"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
90,9.998,107.524570619141
90,9.999,106.771667873243
90,10,106.018577109298
90,10.001,105.26533353767
90,10.002,104.51197243333
90,10.003,103.758529129207
90,10.004,103.005039009481
90,10.005,102.251537502823
90,10.006,101.498060075578
90,10.007,100.74464222489
90,10.008,99.9913194717555
90,10.009,99.2381273540325
90,10.01,98.485101419356
90,10.011,97.7322772180051
90,10.012,96.9796902956995
90,10.013,96.2273761863053
90,10.014,95.4753704044911
90,10.015,94.7237084382977
90,10.016,93.9724257416351
90,10.017,93.2215577267057
90,10.018,92.4711397563542
90,10.019,91.7212071363417
90,10.02,90.9717951075451
90,10.021,90.2229388380833
90,10.022,89.4746734153796
90,10.023,88.7270338381397
90,10.024,87.9800550082795
90,10.025,87.2337717227744
90,10.026,86.4882186654519
90,10.027,85.7434303987267
90,10.028,84.9994413552793
90,10.029,84.2562858296812
90,10.03,83.5139979699754
90,10.031,82.7726117692145
90,10.032,82.0321610569689
90,10.033,81.2926794907845
90,10.034,80.554200547637
90,10.035,79.816757515352
90,10.036,79.0803834840195
90,10.037,78.3451113374
90,10.038,77.6109737443289
90,10.039,76.8780031501323
90,10.04,76.1462317680585
90,10.041,75.4156915707325
90,10.042,74.6864142816391
90,10.043,73.9584313666517
90,10.044,73.2317740256027
90,10.045,72.5064731839165
90,10.046,71.7825594843019
90,10.047,71.0600632785238
90,10.048,70.3390146192552
90,10.049,69.6194432520189
90,10.05,68.9013786072318
100,9.95,22.4900239042943
100,9.951,21.7744642516603
100,9.952,21.0572820936093
100,9.953,20.3385024477172
100,9.954,19.6181506493633
100,9.955,18.89625234738
100,9.956,18.1728334996518
100,9.957,17.4479203686534
100,9.958,16.7215395169517
100,9.959,15.9937178026627
100,9.96,15.2644823748675
100,9.961,14.533860669
100,9.962,13.8018804021996
100,9.963,13.0685695686388
100,9.964,12.3339564348292
100,9.965,11.5980695349032
100,9.966,10.8609376658855
100,9.967,10.1225898829365
100,9.968,9.38305549459485
100,9.969,8.64236405800469
100,9.97,7.90054537412978
100,9.971,7.15762948296555
100,9.972,6.41364665873722
100,9.973,5.66862740509727
100,9.974,4.92260245031195
100,9.975,4.17560274244265
100,9.976,3.42765944452416
100,9.977,2.67880392972675
100,9.978,1.9290677765203
100,9.979,1.17848276382035
100,9.98,0.42708086612744
100,9.981,-0.325105751347174
100,9.982,-1.07804473757291
100,9.983,-1.83170356060956
100,9.984,-2.58604951253383
100,9.985,-3.34104971439466
100,9.986,-4.09667112118905
100,9.987,-4.85288052687763
100,9.988,-5.60964456942378
100,9.989,-6.36692973587906
100,9.99,-7.1247023675062
100,9.991,-7.88292866494819
100,9.992,-8.64157469345221
100,9.993,-9.40060638814265
100,9.994,-10.1599895593584
100,9.995,-10.9196898980526
100,9.996,-11.6796729812583
100,9.997,-12.4399042776344
100,9.998,-13.2003491530826
100,9.999,-13.9609728764504
100,10,-14.7217406253187
100,10.001,-15.4826174918852
100,10.002,-16.2435684889384
100,10.003,-17.0045585559333
100,10.004,-17.7655525651729
100,10.005,-18.5265153280931
100,10.006,-19.2874116016603
100,10.007,-20.0482060948848
100,10.008,-20.8088634754509
100,10.009,-21.5693483764589
100,10.01,-22.3296254033049
100,10.011,-23.0896591406704
100,10.012,-23.8494141596371
100,10.013,-24.6088550249464
100,10.014,-25.3679463023646
100,10.015,-26.1266525661875
100,10.016,-26.8849384068728
100,10.017,-27.6427684387979
100,10.018,-28.4001073081436
100,10.019,-29.1569197009038
100,10.02,-29.9131703510205
100,10.021,-30.668824048639
100,10.022,-31.4238456484743
100,10.023,-32.1782000783073
100,10.024,-32.9318523475739
100,10.025,-33.6847675560754
100,10.026,-34.4369109027841
100,10.027,-35.1882476947449
100,10.028,-35.9387433560692
100,10.029,-36.6883634370154
100,10.03,-37.437073623145
100,10.031,-38.184839744551
100,10.032,-38.9316277851421
100,10.033,-39.6774038920016
100,10.034,-40.4221343847721
100,10.035,-41.165785765093
100,10.036,-41.9083247260604
100,10.037,-42.6497181617105
100,10.038,-43.3899331765148
100,10.039,-44.1289370948753
100,10.04,-44.8666974706086
100,10.041,-45.6031820964123
100,10.042,-46.3383590133045
100,10.043,-47.0721965200161
100,10.044,-47.8046631823395
100,10.045,-48.5357278424077
100,10.046,-49.2653596279076
100,10.047,-49.9935279612028
100,10.048,-50.7202025683645
100,10.049,-51.4453534880977
100,10.05,-52.1689510805488
110,9.95,-92.9172960148798
110,9.951,-93.6440240641567
110,9.952,-94.3724245460946
110,9.953,-95.1024725496507
110,9.954,-95.8341428541012
110,9.955,-96.5674099338018
110,9.956,-97.302247962978
110,9.957,-98.0386308205551
110,9.958,-98.776532094998
110,9.959,-99.5159250891723
110,9.96,-100.256782825218
110,9.961,-100.999078049421
110,9.962,-101.742783237092
110,9.963,-102.487870597432
110,9.964,-103.234312078395
110,9.965,-103.982079371527
110,9.966,-104.73114391679
110,9.967,-105.481476907366
110,9.968,-106.233049294431
110,9.969,-106.985831791897
110,9.97,-107.739794881126
110,9.971,-108.494908815606
110,9.972,-109.251143625597
110,9.973,-110.008469122726
110,9.974,-110.766854904557
110,9.975,-111.526270359112
110,9.976,-112.286684669354
110,9.977,-113.048066817637
110,9.978,-113.810385590104
110,9.979,-114.573609581062
110,9.98,-115.337707197307
110,9.981,-116.102646662423
110,9.982,-116.868396021052
110,9.983,-117.634923143123
110,9.984,-118.402195728069
110,9.985,-119.170181309013
110,9.986,-119.938847256941
110,9.987,-120.708160784857
110,9.988,-121.478088951936
110,9.989,-122.248598667666
110,9.99,-123.019656695998
110,9.991,-123.791229659499
110,9.992,-124.563284043522
110,9.993,-125.335786200396
