"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
160,10.036,-39.6441223383666
160,10.037,-40.4757722530175
160,10.038,-41.3068182355248
160,10.039,-42.137232918604
160,10.04,-42.9669887645988
160,10.041,-43.796058073875
160,10.042,-44.6244129937017
160,10.043,-45.4520255275979
160,10.044,-46.2788675451482
160,10.045,-47.1049107922574
160,10.046,-47.9301269018458
160,10.047,-48.7544874049554
160,10.048,-49.5779637422588
160,10.049,-50.4005272759549
160,10.05,-51.2221493020257
165,9.95,-23.8341690662681
165,9.951,-24.6326967598084
165,9.952,-25.4326732729597
165,9.953,-26.2340776947851
165,9.954,-27.0368888832731
165,9.955,-27.8410854703292
165,9.956,-28.6466458667527
165,9.957,-29.4535482672095
165,9.958,-30.2617706551687
165,9.959,-31.0712908078106
165,9.96,-31.8820863009004
165,9.961,-32.6941345136092
165,9.962,-33.5074126332869
165,9.963,-34.3218976601757
165,9.964,-35.1375664120548
165,9.965,-35.9543955288196
165,9.966,-36.7723614769747
165,9.967,-37.5914405540598
165,9.968,-38.4116088929755
165,9.969,-39.2328424662227
165,9.97,-40.0551170900509
165,9.971,-40.8784084285008
165,9.972,-41.702691997353
165,9.973,-42.5279431679649
165,9.974,-43.3541371710076
165,9.975,-44.1812491000914
165,9.976,-45.0092539152794
165,9.977,-45.8381264464995
165,9.978,-46.6678413968354
165,9.979,-47.4983733457157
165,9.98,-48.3296967519896
165,9.981,-49.1617859568942
165,9.982,-49.9946151869171
165,9.983,-50.8281585565562
165,9.984,-51.6623900709729
165,9.985,-52.497283628553
165,9.986,-53.3328130233663
165,9.987,-54.1689519475456
165,9.988,-55.0056739935686
165,9.989,-55.8429526564677
165,9.99,-56.6807613359601
165,9.991,-57.5190733385078
165,9.992,-58.357861879319
165,9.993,-59.1971000842866
165,9.994,-60.0367609918819
165,9.995,-60.8768175550042
165,9.996,-61.7172426427915
165,9.997,-62.5580090424134
165,9.998,-63.3990894608359
165,9.999,-64.2404565265796
165,10,-65.0820827914739
165,10.001,-65.9239407324206
165,10.002,-66.76600275317
165,10.003,-67.6082411861192
165,10.004,-68.4506282941501
165,10.005,-69.2931362725012
165,10.006,-70.1357372506944
165,10.007,-70.9784032945226
165,10.008,-71.8211064081055
165,10.009,-72.6638185360149
165,10.01,-73.5065115655023
165,10.011,-74.3491573288066
165,10.012,-75.191727605563
165,10.013,-76.0341941253426
165,10.014,-76.8765285702874
165,10.015,-77.7187025778826
165,10.016,-78.5606877438623
165,10.017,-79.4024556252542
165,10.018,-80.2439777435677
165,10.019,-81.0852255881378
165,10.02,-81.9261706196284
165,10.021,-82.7667842736981
165,10.022,-83.607037964827
165,10.023,-84.4469030903327
165,10.024,-85.2863510345412
165,10.025,-86.1253531731548
165,10.026,-86.9638808777934
165,10.027,-87.8019055207198
165,10.028,-88.6393984797511
165,10.029,-89.4763311433594
165,10.03,-90.3126749159564
165,10.031,-91.1484012233646
165,10.032,-91.9834815184663
165,10.033,-92.8178872870585
165,10.034,-93.6515900538631
165,10.035,-94.4845613887345
165,10.036,-95.3167729130332
165,10.037,-96.1481963061747
165,10.038,-96.9788033123473
165,10.039,-97.8085657473902
165,10.04,-98.6374555058264
165,10.041,-99.4654445680475
165,10.042,-100.292505007645
165,10.043,-101.118608998873
165,10.044,-101.94372882424
165,10.045,-102.767836882229
165,10.046,-103.590905695113
165,10.047,-104.412907916894
165,10.048,-105.233816341313
165,10.049,-106.053603909959
165,10.05,-106.87224372045
170,9.95,-78.0265546580972
170,9.951,-78.8437312837982
170,9.952,-79.6622477252622
170,9.953,-80.4820760221009
170,9.954,-81.3031881130738
170,9.955,-82.1255558506633
170,9.956,-82.9491510155284
170,9.957,-83.7739453308324
170,9.958,-84.5999104763917
170,9.959,-85.4270181026388
170,9.96,-86.2552398443746
170,9.961,-87.0845473342758
170,9.962,-87.9149122161449
170,9.963,-88.7463061578754
170,9.964,-89.5787008641067
170,9.965,-90.4120680885567
170,9.966,-91.2463796459968
170,9.967,-92.081607423873
170,9.968,-92.9177233935274
170,9.969,-93.7546996210192
170,9.97,-94.5925082775286
170,9.971,-95.4311216493168
170,9.972,-96.2705121472415
170,9.973,-97.1106523158015
170,9.974,-97.9515148417084
170,9.975,-98.7930725619689
170,9.976,-99.6352984714647
170,9.977,-100.478165730036
170,9.978,-101.321647669039
170,9.979,-102.165717797391
170,9.98,-103.010349807088
170,9.981,-103.855517578194
170,9.982,-104.701195183299
170,9.983,-105.547356891444
170,9.984,-106.393977171522
170,9.985,-107.241030695137
170,9.986,-108.088492338944
170,9.987,-108.93633718647
170,9.988,-109.784540529404
170,9.989,-110.63307786839
170,9.99,-111.481924913309
170,9.991,-112.331057583066
170,9.992,-113.180452004897
170,9.993,-114.030084513198
170,9.994,-114.879931647892
170,9.995,-115.729970152357
170,9.996,-116.580176970897
170,9.997,-117.430529245826
170,9.998,-118.281004314113
170,9.999,-119.131579703668
170,10,-119.982233129238
170,10.001,-120.832942487965
170,10.002,-121.6836858546
170,10.003,-122.53444147641
170,10.004,-123.385187767787
170,10.005,-124.235903304589
170,10.006,-125.086566818214
170,10.007,-125.937157189464
170,10.008,-126.787653442183
170,10.009,-127.638034736705
170,10.01,-128.488280363156
170,10.011,-129.33836973459
170,10.012,-130.188282380009
170,10.013,-131.037997937301
170,10.014,-131.887496146083
170,10.015,-132.736756840495
170,10.016,-133.585759941969
170,10.017,-134.434485451988
170,10.018,-135.282913444849
170,10.019,-136.131024060474
170,10.02,-136.97879749727
170,10.021,-137.826214005074
170,10.022,-138.673253878183
170,10.023,-139.519897448524
170,10.024,-140.366125078946
170,10.025,-141.211917156678
170,10.026,-142.057254086968
170,10.027,-142.902116286911
170,10.028,-143.746484179494
170,10.029,-144.590338187878
170,10.03,-145.433658729914
170,10.031,-146.276426212938
170,10.032,-147.118621028823
170,10.033,-147.960223549349
170,10.034,-148.801214121856
170,10.035,-149.641573065223
170,10.036,-150.481280666177
170,10.037,-151.320317175937
170,10.038,-152.158662807215
170,10.039,-152.996297731566
170,10.04,-153.833202077109
170,10.041,-154.66935592662
170,10.042,-155.504739316006
170,10.043,-156.339332233157
170,10.044,-157.173114617195
170,10.045,-158.006066358104
170,10.046,-158.838167296762
170,10.047,-159.669397225361
170,10.048,-160.499735888224
170,10.049,-161.329162983017
170,10.05,-162.15765816235
175,9.95,-135.563805995828
175,9.951,-136.385233177184
175,9.952,-137.207729915035
175,9.953,-138.031275338104
175,9.954,-138.85584869043
175,9.955,-139.681429338988
175,9.956,-140.507996780858
175,9.957,-141.335530649946
175,9.958,-142.164010723217
175,9.959,-142.993416926455
175,9.96,-143.823729339519
175,9.961,-144.6549282011
175,9.962,-145.486993912946
175,9.963,-146.319907043582
175,9.964,-147.153648331477
175,9.965,-147.988198687688
175,9.966,-148.823539197946
175,9.967,-149.659651124204
175,9.968,-150.496515905634
175,9.969,-151.334115159058
175,9.97,-152.172430678847
175,9.971,-153.011444436243
175,9.972,-153.851138578152
175,9.973,-154.691495425376
175,9.974,-155.532497470304
175,9.975,-156.374127374066
175,9.976,-157.216367963152
175,9.977,-158.059202225516
175,9.978,-158.902613306145
175,9.979,-159.746584502143
175,9.98,-160.591099257306
175,9.981,-161.436141156218
175,9.982,-162.281693917876
175,9.983,-163.127741388862
175,9.984,-163.974267536065
175,9.985,-164.821256438987
175,9.986,-165.668692281632
175,9.987,-166.516559344012
175,9.988,-167.364841993273
175,9.989,-168.213524674472
175,9.99,-169.062591901023
175,9.991,-169.912028244821
175,9.992,-170.761818326096
175,9.993,-171.611946802973
175,9.994,-172.462398360814
175,9.995,-173.313157701318
175,9.996,-174.164209531436
175,9.997,-175.01553855211
175,9.998,-175.867129446871
175,9.999,-176.718966870306
175,10,-177.571035436437
175,10.001,-178.423319707033
175,10.002,-179.275804179875
175,10.003,-180.128473277009
175,10.004,-180.981311333014
175,10.005,-181.834302583303
175,10.006,-182.687431152496
175,10.007,-183.540681042889
175,10.008,-184.394036123042
175,10.009,-185.247480116509
175,10.01,-186.100996590766
175,10.011,-186.954568946319
175,10.012,-187.80818040605
175,10.013,-188.661814004833
175,10.014,-189.515452579413
175,10.015,-190.369078758608
175,10.016,-191.222674953841
175,10.017,-192.07622335003
175,10.018,-192.929705896865
175,10.019,-193.783104300489
175,10.02,-194.636400015612
175,10.021,-195.48957423808
175,10.022,-196.342607897907
175,10.023,-197.195481652822
175,10.024,-198.048175882311
175,10.025,-198.900670682203
175,10.026,-199.752945859809
175,10.027,-200.60498092962
175,10.028,-201.456755109603
175,10.029,-202.308247318081
175,10.03,-203.159436171241
175,10.031,-204.010299981253
175,10.032,-204.860816755023
175,10.033,-205.710964193614
175,10.034,-206.560719692291
175,10.035,-207.410060341247
175,10.036,-208.258962926982
175,10.037,-209.107403934361
175,10.038,-209.955359549339
175,10.039,-210.802805662366
175,10.04,-211.649717872459
175,10.041,-212.496071491945
175,10.042,-213.341841551883
175,10.043,-214.187002808138
175,10.044,-215.031529748119
175,10.045,-215.875396598164
175,10.046,-216.718577331566
175,10.047,-217.561045677229
175,10.048,-218.402775128941
175,10.049,-219.243738955249
175,10.05,-220.083910209928
180,9.95,171.009331801068
180,9.951,170.199051330553
180,9.952,169.38735936112
180,9.953,168.574274653895
180,9.954,167.759816118853
180,9.955,166.944002810096
180,9.956,166.126853921247
180,9.957,165.308388780972
180,9.958,164.488626848653
180,9.959,163.667587710204
180,9.96,162.845291074037
180,9.961,162.021756767214
180,9.962,161.197004731755
180,9.963,160.371055021131
180,9.964,159.543927796953
180,9.965,158.715643325846
180,9.966,157.886221976528
180,9.967,157.055684217089
180,9.968,156.224050612487
180,9.969,155.39134182225
180,9.97,154.5575785984
180,9.971,153.722781783595
180,9.972,152.886972309491
180,9.973,152.05017119533
180,9.974,151.212399546751
180,9.975,150.373678554819
180,9.976,149.534029495292
180,9.977,148.693473728089
180,9.978,147.852032696993
180,9.979,147.00972792957
180,9.98,146.166581037288
180,9.981,145.322613715863
180,9.982,144.477847745796
180,9.983,143.632304993112
180,9.984,142.786007410295
180,9.985,141.938977037398
180,9.986,141.091236003347
180,9.987,140.242806527391
180,9.988,139.393710920734
180,9.989,138.543971588305
180,9.99,137.693611030665
180,9.991,136.842651846057
180,9.992,135.991116732559
180,9.993,135.139028490352
180,9.994,134.286410024076
180,9.995,133.433284345268
180,9.996,132.579674574872
180,9.997,131.725603945791
180,9.998,130.871095805488
180,9.999,130.016173618608
180,10,129.160860969609
180,10.001,128.305181565388
180,10.002,127.449159237884
180,10.003,126.592817946654
180,10.004,125.73618178138
180,10.005,124.879274964326
180,10.006,124.022121852702
180,10.007,123.164746940927
180,10.008,122.30717486278
180,10.009,121.449430393428
180,10.01,120.591538451286
180,10.011,119.733524099737
180,10.012,118.875412548669
180,10.013,118.017229155807
180,10.014,117.15899942785
180,10.015,116.300749021392
180,10.016,115.442503743592
180,10.017,114.584289552605
180,10.018,113.726132557753
180,10.019,112.868059019415
180,10.02,112.010095348637
180,10.021,111.152268106442
180,10.022,110.294604002832
180,10.023,109.437129895472
180,10.024,108.579872788049
180,10.025,107.722859828294
180,10.026,106.866118305658
180,10.027,106.009675648645
180,10.028,105.153559421783
180,10.029,104.297797322234
180,10.03,103.442417176044
180,10.031,102.587446934014
180,10.032,101.732914667223
180,10.033,100.87884856214
180,10.034,100.025276915403
180,10.035,99.1722281281989
180,10.036,98.3197307002895
180,10.037,97.4678132236576
180,10.038,96.6165043757935
180,10.039,95.7658329126196
180,10.04,94.9158276610636
180,10.041,94.0665175112806
180,10.042,93.2179314085318
180,10.043,92.3700983447365
180,10.044,91.5230473496942
180,10.045,90.6768074819997
180,10.046,89.8314078196489
180,10.047,88.9868774503606
180,10.048,88.1432454616178
180,10.049,87.3005409304423
180,10.05,86.4587929129211
185,9.95,110.474817598748
185,9.951,109.638071483808
185,9.952,108.800166427111
185,9.953,107.961131684153
185,9.954,107.120996527703
185,9.955,106.27979023251
185,9.956,105.437542060248
185,9.957,104.594281244715
185,9.958,103.750036977342
185,9.959,102.904838393007
185,9.96,102.058714556192
185,9.961,101.21169444751
185,9.962,100.36380695061
185,9.963,99.5150808394961
185,9.964,98.6655447662771
185,9.965,97.8152272493582
185,9.966,96.9641566621085
185,9.967,96.1123612219988
185,9.968,95.2598689802513
185,9.969,94.4067078119997
185,9.97,93.5529054069729
185,9.971,92.6984892607247
185,9.972,91.8434866664075
185,9.973,90.9879247071114
185,9.974,90.131830248767
185,9.975,89.2752299336227
185,9.976,88.4181501743064
185,9.977,87.56061714846
185,9.978,86.7026567939715
185,9.979,85.8442948047842
185,9.98,84.9855566272971
185,9.981,84.1264674573494
185,9.982,83.2670522377842
185,9.983,82.4073356565886
185,9.984,81.5473421456097
185,9.985,80.6870958798279
185,9.986,79.8266207771942
185,9.987,78.9659404990027
185,9.988,78.1050784508106
185,9.989,77.2440577838728
185,9.99,76.3829013970925
185,9.991,75.5216319394684
185,9.992,74.6602718130197
185,9.993,73.7988431761834
185,9.994,72.9373679476552
185,9.995,72.0758678106644
185,9.996,71.2143642176647
185,9.997,70.3528783954105
185,9.998,69.4914313504155
185,9.999,68.6300438747599
185,10,67.7687365522332
185,10.001,66.9075297647816
185,10.002,66.0464436992489
185,10.003,65.1854983543826
185,10.004,64.3247135480783
