"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
160,10.009,-13.0141948501674
160,10.01,-13.8500189872429
160,10.011,-14.6857232462337
160,10.012,-15.5212718276003
160,10.013,-16.3566287826336
160,10.014,-17.1917580142694
160,10.015,-18.026623278295
160,10.016,-18.8611881849499
160,10.017,-19.6954162009372
160,10.018,-20.5292706518582
160,10.019,-21.3627147250884
160,10.02,-22.1957114731061
160,10.021,-23.028223817282
160,10.022,-23.8602145521333
160,10.023,-24.6916463500741
160,10.024,-25.5224817666313
160,10.025,-26.3526832461697
160,10.026,-27.1822131281047
160,10.027,-28.0110336536129
160,10.028,-28.8391069728426
160,10.029,-29.6663951526252
160,10.03,-30.4928601846807
160,10.031,-31.3184639943157
160,10.032,-32.1431684496011
160,10.033,-32.9669353710521
160,10.034,-33.7897265417548
160,10.035,-34.611503717973
160,10.036,-35.4322286401971
160,10.037,-36.2518630446348
160,10.038,-37.0703686751288
160,10.039,-37.887707295481
160,10.04,-38.7038407021683
160,10.041,-39.5187307374339
160,10.042,-40.3323393027376
160,10.043,-41.1446283725334
160,10.044,-41.9555600083692
160,10.045,-42.7650963732691
160,10.046,-43.5731997463909
160,10.047,-44.3798325379208
160,10.048,-45.1849573041882
160,10.049,-45.9885367629748
160,10.05,-46.7905338089879
161,9.95,20.4153860625638
161,9.951,19.6232565294232
161,9.952,18.829478110812
161,9.953,18.0340811780806
161,9.954,17.2370962844496
161,9.955,16.4385541566339
161,9.956,15.6384856866891
161,9.957,14.8369219240722
161,9.958,14.0338940679595
161,9.959,13.2294334598169
161,9.96,12.4235715762365
161,9.961,11.6163400220606
161,9.962,10.8077705237943
161,9.963,9.99789492331987
161,9.964,9.18674517192686
161,9.965,8.37435332465569
161,9.966,7.560751534976
161,9.967,6.74597204978295
161,9.968,5.93004720474296
161,9.969,5.11300941997468
161,9.97,4.29489119606832
161,9.971,3.47572511045498
161,9.972,2.65554381411159
161,9.973,1.83438002861435
161,9.974,1.01226654352612
161,9.975,0.189236214120567
161,9.976,-0.634678040559256
161,9.977,-1.45944323932787
161,9.978,-2.28502634015606
161,9.979,-3.11139424117037
161,9.98,-3.93851378134912
161,9.981,-4.76635174093098
161,9.982,-5.59487484154942
161,9.983,-6.42404974610481
161,9.984,-7.25384305838318
161,9.985,-8.08422132244668
161,9.986,-8.91515102179876
161,9.987,-9.74659857835833
161,9.988,-10.5785303512385
161,9.989,-11.4109126353695
161,9.99,-12.24371165997
161,9.991,-13.0768935868922
161,9.992,-13.9104245088664
161,9.993,-14.7442704476526
161,9.994,-15.5783973521357
161,9.995,-16.4127710963762
161,9.996,-17.2473574776382
161,9.997,-18.0821222144298
161,9.998,-18.9170309445597
161,9.999,-19.7520492232482
161,10,-20.5871425213059
161,10.001,-21.4222762234116
161,10.002,-22.2574156265033
161,10.003,-23.0925259383088
161,10.004,-23.9275722760424
161,10.005,-24.7625196652801
161,10.006,-25.5973330390427
161,10.007,-26.4319772371067
161,10.008,-27.2664170055622
161,10.009,-28.1006169966291
161,10.01,-28.9345417687761
161,10.011,-29.7681557871289
161,10.012,-30.6014234241995
161,10.013,-31.4343089609737
161,10.014,-32.2667765883292
161,10.015,-33.0987904088338
161,10.016,-33.9303144389272
161,10.017,-34.7613126114946
161,10.018,-35.5917487788455
161,10.019,-36.4215867161103
161,10.02,-37.2507901250633
161,10.021,-38.0793226383777
161,10.022,-38.9071478243125
161,10.023,-39.7342291918576
161,10.024,-40.5605301963077
161,10.025,-41.3860142453001
161,10.026,-42.210644705295
161,10.027,-43.0343849085044
161,10.028,-43.8571981602683
161,10.029,-44.6790477468756
161,10.03,-45.4998969438217
161,10.031,-46.3197090244966
161,10.032,-47.1384472692894
161,10.033,-47.9560749751276
161,10.034,-48.7725554653959
161,10.035,-49.5878521002626
161,10.036,-50.4019282873768
161,10.037,-51.2147474929317
161,10.038,-52.0262732530794
161,10.039,-52.8364691856747
161,10.04,-53.6452990023321
161,10.041,-54.4527265207786
161,10.042,-55.2587156774866
161,10.043,-56.0632305405531
161,10.044,-56.8662353228212
161,10.045,-57.6676943952042
161,10.046,-58.4675723002055
161,10.047,-59.2658337655965
161,10.048,-60.0624437182372
161,10.049,-60.8573672980148
161,10.05,-61.650569871871
162,9.95,7.72671323463847
162,9.951,6.93980899682423
162,9.952,6.15119166872048
162,9.953,5.36089029348524
162,9.954,4.56893411219836
162,9.955,3.77535255614377
162,9.956,2.98017523929131
162,9.957,2.18343195097377
162,9.958,1.3851526487993
162,9.959,0.585367451795053
162,9.96,-0.215893366204192
162,9.961,-1.01859938290101
162,9.962,-1.82272003361359
162,9.963,-2.62822461707257
162,9.964,-3.43508230092359
162,9.965,-4.24326212693683
162,9.966,-5.05273301590187
162,9.967,-5.86346377222434
162,9.968,-6.67542308819263
162,9.969,-7.48857954792779
162,9.97,-8.30290163101326
162,9.971,-9.11835771579199
162,9.972,-9.93491608234447
162,9.973,-10.7525449151344
162,9.974,-11.5712123053351
162,9.975,-12.3908862528336
162,9.976,-13.2115346679137
162,9.977,-14.033125372637
162,9.978,-14.8556261019066
162,9.979,-15.6790045042434
162,9.98,-16.5032281422674
162,9.981,-17.328264492901
162,9.982,-18.1540809473058
162,9.983,-18.9806448105642
162,9.984,-19.8079233011131
162,9.985,-20.6358835499555
162,9.986,-21.4644925996501
162,9.987,-22.2937174031144
162,9.988,-23.1235248222346
162,9.989,-23.9538816263219
162,9.99,-24.7847544904193
162,9.991,-25.6161099934826
162,9.992,-26.4479146164604
162,9.993,-27.2801347402838
162,9.994,-28.1127366437957
162,9.995,-28.9456865016377
162,9.996,-29.7789503821121
162,9.997,-30.6124942450552
162,9.998,-31.4462839397259
162,9.999,-32.280285202747
162,10,-33.1144636561141
162,10.001,-33.9487848053018
162,10.002,-34.7832140374827
162,10.003,-35.6177166198857
162,10.004,-36.452257698321
162,10.005,-37.2868022958834
162,10.006,-38.121315311865
162,10.007,-38.9557615208989
162,10.008,-39.7901055723504
162,10.009,-40.624311989972
162,10.01,-41.4583451718646
162,10.011,-42.2921693907337
162,10.012,-43.1257487944728
162,10.013,-43.9590474071132
162,10.014,-44.7920291301125
162,10.015,-45.6246577440332
162,10.016,-46.4568969106161
162,10.017,-47.2887101752582
162,10.018,-48.1200609699084
162,10.019,-48.9509126163973
162,10.02,-49.7812283302091
162,10.021,-50.610971224703
162,10.022,-51.440104315785
162,10.023,-52.2685905270604
162,10.024,-53.0963926954333
162,10.025,-53.9234735771961
162,10.026,-54.7497958545841
162,10.027,-55.5753221428037
162,10.028,-56.4000149975356
162,10.029,-57.2238369229104
162,10.03,-58.0467503799479
162,10.031,-58.8687177954592
162,10.032,-59.6897015713939
162,10.033,-60.5096640946551
162,10.034,-61.328567747325
162,10.035,-62.146374917332
162,10.036,-62.9630480095217
162,10.037,-63.7785494571289
162,10.038,-64.5928417336343
162,10.039,-65.4058873649862
162,10.04,-66.2176489421694
162,10.041,-67.0280891341064
162,10.042,-67.837170700871
162,10.043,-68.6448565071862
162,10.044,-69.4511095361963
162,10.045,-70.2558929034774
162,10.046,-71.059169871276
162,10.047,-71.86090386294
162,10.048,-72.6610584775234
162,10.049,-73.4595975045408
162,10.05,-74.2564849388411
163,9.95,-1.12016596455038
163,9.951,-1.90979728863193
163,9.952,-2.7012062756618
163,9.953,-3.49436367855585
163,9.954,-4.28924004313651
163,9.955,-5.08580571671357
163,9.956,-5.8840308564748
163,9.957,-6.68388543768838
163,9.958,-7.48533926167469
163,9.959,-8.28836196354821
163,9.96,-9.09292301971371
163,9.961,-9.89899175509203
163,9.962,-10.7065373500727
163,9.963,-11.5155288471756
163,9.964,-12.3259351574061
163,9.965,-13.1377250663021
163,9.966,-13.9508672396488
163,9.967,-14.7653302288737
163,9.968,-15.5810824760895
163,9.969,-16.3980923187926
163,9.97,-17.2163279942139
163,9.971,-18.0357576433041
163,9.972,-18.8563493143675
163,9.973,-19.678070966325
163,9.974,-20.5008904716208
163,9.975,-21.3247756187641
163,9.976,-22.1496941145071
163,9.977,-22.9756135856751
163,9.978,-23.8025015806323
163,9.979,-24.6303255704099
163,9.98,-25.4590529494889
163,9.981,-26.2886510362523
163,9.982,-27.1190870731162
163,9.983,-27.9503282263505
163,9.984,-28.7823415855957
163,9.985,-29.6150941630996
163,9.986,-30.448552892674
163,9.987,-31.2826846284062
163,9.988,-32.1174561431177
163,9.989,-32.9528341266107
163,9.99,-33.7887851837036
163,9.991,-34.6252758320835
163,9.992,-35.4622724999972
163,9.993,-36.2997415237928
163,9.994,-37.1376491453447
163,9.995,-37.9759615093768
163,9.996,-38.8146446607062
163,9.997,-39.6536645414429
163,9.998,-40.4929869881514
163,9.999,-41.3325777290131
163,10,-42.1724023810057
163,10.001,-43.0124264471335
163,10.002,-43.8526153137223
163,10.003,-44.692934247812
163,10.004,-45.533348394673
163,10.005,-46.3738227754636
163,10.006,-47.2143222850608
163,10.007,-48.0548116900882
163,10.008,-48.8952556271631
163,10.009,-49.7356186013795
163,10.01,-50.5758649850745
163,10.011,-51.41595901687
163,10.012,-52.2558648010242
163,10.013,-53.0955463071377
163,10.014,-53.9349673701879
163,10.015,-54.7740916909492
163,10.016,-55.6128828368056
163,10.017,-56.4513042429693
163,10.018,-57.2893192141249
163,10.019,-58.126890926515
163,10.02,-58.9639824304836
163,10.021,-59.8005566534858
163,10.022,-60.6365764035691
163,10.023,-61.4720043733605
163,10.024,-62.3068031445304
163,10.025,-63.1409351927779
163,10.026,-63.9743628933182
163,10.027,-64.8070485268834
163,10.028,-65.6389542862413
163,10.029,-66.4700422832328
163,10.03,-67.3002745563238
163,10.031,-68.1296130786713
163,10.032,-68.9580197666914
163,10.033,-69.7854564891526
163,10.034,-70.6118850767419
163,10.035,-71.4372673321347
163,10.036,-72.2615650405348
163,10.037,-73.0847399806828
163,10.038,-73.9067539363191
163,10.039,-74.7275687080823
163,10.04,-75.5471461258278
163,10.041,-76.3654480613516
163,10.042,-77.1824364415023
163,10.043,-77.9980732616508
163,10.044,-78.8123205995117
163,10.045,-79.6251406292776
163,10.046,-80.4364956360584
163,10.047,-81.2463480305877
163,10.048,-82.054660364179
163,10.049,-82.8613953439059
163,10.05,-83.6665158479744
164,9.95,-14.8400532059213
164,9.951,-15.6351101662234
164,9.952,-16.4318563627616
164,9.953,-17.2302607880751
164,9.954,-18.0302922480914
164,9.955,-18.8319193716359
164,9.956,-19.6351106197278
164,9.957,-20.4398342946646
164,9.958,-21.2460585488506
164,9.959,-22.0537513933727
164,9.96,-22.8628807063045
164,9.961,-23.673414240716
164,9.962,-24.485319632385
164,9.963,-25.2985644071929
164,9.964,-26.1131159881898
164,9.965,-26.9289417023267
164,9.966,-27.746008786832
164,9.967,-28.5642843952452
164,9.968,-29.3837356030745
164,9.969,-30.2043294130892
164,9.97,-31.0260327602416
164,9.971,-31.8488125162036
164,9.972,-32.672635493531
164,9.973,-33.4974684494386
164,9.974,-34.3232780892003
164,9.975,-35.1500310691673
164,9.976,-35.9776939994062
164,9.977,-36.8062334459739
164,9.978,-37.6356159328142
